n,Yaw,Pitch,Roll,Lift,Drag,Side
193,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
194,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
195,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
196,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
197,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
198,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
199,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
200,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
201,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
202,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
203,71.91785999999999,5.2356,-0.09438,-9.15607,12.63672,-3.612
204,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
205,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
206,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
207,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
208,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
209,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
210,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
211,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
212,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
213,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
214,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
215,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
216,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
217,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
218,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
219,75.34252,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
220,75.34252,4.363,-0.01573,-5.97135,8.31944,-3.01
221,71.91785999999999,-0.8726,-0.07865,-1.59236,2.41152,0.602
222,75.34252,2.6178,-0.09438,-5.97135,8.336879999999999,-1.806
223,68.4932,6.9808,-0.11011000000000001,0.0,0.41856000000000004,-4.816
224,51.369899999999994,1.7452,-0.03146,-3.9809,6.04624,-1.204
225,37.67126,9.598600000000001,-0.09438,-8.75798,12.35648,-6.622
226,30.821939999999998,12.2164,-0.04719,-11.54461,15.95752,-8.427999999999999
227,23.97262,8.726,-0.03146,-5.17517,7.18344,-6.02
228,13.69864,5.2356,-0.01573,-9.15607,12.47976,-3.612
229,13.69864,1.7452,-0.01573,-3.18472,4.33472,-1.204
230,6.84932,2.6178,-0.03146,-3.18472,4.33472,-1.806
231,10.27398,17.452,-0.11011000000000001,11.9427,-16.18544,-12.17672
232,10.27398,26.178,-0.03146,4.77708,-6.43232,-18.47016
